"","","Pesticis - Organochlorés (OCl)","","","","",""
"","","","","","Incertitude","",""
"Paramètre","Méthode/Version","Résultat","Unité","LQ","","VMA*","Appréciation"
"","","","","","(%)","",""
"*Aldrine","","<LQ","µg/l","0,01","30","0,03","S"
"*Endousulfane","","<LQ","µg/l","0,01","30","0,1","S"
"*HCH","","<LQ","µg/l","0,01","30","0,1","S"
"*Lindane","","<LQ","µg/l","0,01","30","0,1","S"
"*Dieldrine","","<LQ","µg/l","0,01","30","0,03","S"
"*Endrine","","<LQ","µg/l","0,01","30","0,1","S"
"*Heptachlore","Pesticides Organochlorés","<LQ","µg/l","0,01","30","0,03","S"
"*Heptachlore epoxide","NM 03.7.202 (1996)","<LQ","µg/l","0,01","30","0,03","S"
"*DDT","","<LQ","µg/l","0,01","30","0,1","S"
"*DDD","","<LQ","µg/l","0,01","30","0,1","S"
"*DDE","","<LQ","µg/l","0,01","30","0,1","S"
"*Methoxychlore","","<LQ","µg/l","0,01","30","0,1","S"
"*Aldrine","","<LQ","µg/l","0,01","30","0,1","S"
"*Endousulfane","","<LQ","µg/l","0,01","30","0,1","S"
"","","Pesticides - Organophosphorés (OP)","","","","",""
"","","","","","Incertitude","",""
"Paramètre","Méthode/Version","Résultat","Unité","LQ","","VMA*","Appréciation"
"","","","","","(%)","",""
"*Diazinon","","<LQ","µg/l","0,01","30","0,1","S"
"*Methyl parathion","","<LQ","µg/l","0,01","30","0,1","S"
"*Ethyl parathion","","<LQ","µg/l","0,01","30","0,1","S"
"*Dimenthoate","","<LQ","µg/l","0,01","30","0,1","S"
"","Pesticides","","","","","",""
"*Fenithrothion","","<LQ","µg/l","0,01","30","0,1","S"
"","Organophosphorés","","","","","",""
"*Fonofos","NM 03.7.201 (1996)","<LQ","µg/l","0,01","30","0,1","S"
"*Malathion","","<LQ","µg/l","0,01","30","0,1","S"
"*Diazinon","","<LQ","µg/l","0,01","30","0,1","S"
"*Methyl parathion","","<LQ","µg/l","0,01","30","0,1","S"
"*Ethyl parathion","","<LQ","µg/l","0,01","30","0,1","S"
"*Dimenthoate","","<LQ","µg/l","0,01","30","0,1","S"
