"","Conclusion a : La qualité de l’échantillon soumis à l’essai est satisfaisante selon les critères microbiologiques indiqués.","","","","","",""
"","","Hydrocarbures polycycliques aromatiques (HAP)","","","","",""
"","","","","","Incertitude","",""
"Paramètre au laboratoire","Méthode/Version","Résultat","Unité","LQ","","VMA*","Appréciation"
"","","","","","(%)","",""
"Benzo(b) fluorranthène*","","<LQ","µg/l","0,01","10","0,1","S"
"Benzo(k) fluorranthène*","","<LQ","µg/l","0,01","10","0,1","S"
"Benzo(ghi) pérylène*","NM ISO 28540 (2014)","<LQ","µg/l","0,01","10","0,1","S"
"Indénol(1.2.3-cd) pyrène*","","<LQ","µg/l","0,01","10","0,1","S"
"Benzo(a) pyrène*","","<LQ","µg/l","0,01","10","0,1","S"
"Benzène","NM ISO 17943 (2019)","<LQ","µg/l","0,01","10","1","S"
"","","","Trihalométhanes (THM)","","","",""
"","","","","","Incertitude","",""
"Paramètre au laboratoire","Méthode/Version","Résultat","Unité","LQ","","VMA*","Appréciation"
"","","","","","(%)","",""
"Chloroforme","","5,78","µg/l","1","15","300","S"
"Bromoforme","","14,29","µg/l","1","15","100","S"
"Dibromochlorométhane","","1,76","µg/l","1","15","100","S"
"","NM ISO 10301 (2008)","","","","","",""
"Bromodichlorométhane","","<LQ","µg/l","1","15","60","S"
"Papport individual","","","","","","",""
