"","","","","Rapport N° :119/24-PS","","","",""
"","Résultats","LQ","","Résultats","LQ","","Résultats","LQ"
"Matière active","","","Matière active","","","Matière active","",""
"","(µg/l)","(µg/l)","","(µg/l)","(µg/l)","","(µg/l)","(µg/l)"
"Isoxathion","<LQ","0,01","Metobromuron","<LQ","0,01","Oxycarboxin","<LQ","0,01"
"Ivermectin_B1a+NH4","<LQ","0,01","Metolachlore","<LQ","0,01","Oxyfluorfene","<LQ","0,01"
"Kresoxim-metyl","<LQ","0,01","Metolcarb","<LQ","0,01","Paclobutrazol","<LQ","0,01"
"Lambda-Cyhalothrine","<LQ","0,01","Metosulam","<LQ","0,01","Paraoxon","<LQ","0,01"
"Lenacile","<LQ","0,01","Metoxuron","<LQ","0,01","Paraoxon Methyl","<LQ","0,01"
"Leptophos","<LQ","0,01","Metrafenone","<LQ","0,01","Parathion-ethyl*","<LQ","0,01"
"Lindane*","<LQ","0,01","Metribuzine","<LQ","0,01","Parathion-methyl*","<LQ","0,01"
"Linuron","<LQ","0,01","Metrazachlor","<LQ","0,01","Paraziquentel","<LQ","0,01"
"Lufénuron","<LQ","0,01","Metsufuron","<LQ","0,01","Pebulat","<LQ","0,01"
"Malaoxon","<LQ","0,01","Metsulfuron-methyl","<LQ","0,01","Penconazole","<LQ","0,01"
"Malathion*","<LQ","0,01","Mevinphos","<LQ","0,01","Pencycuron","<LQ","0,01"
"Maleic hydrazide","<LQ","0,01","Mexacarbate","<LQ","0,01","Pendimethaline","<LQ","0,01"
"Mandipropamid","<LQ","0,01","Mirex","<LQ","0,01","Pentachloroaniline","<LQ","0,01"
"Matconazole","<LQ","0,01","Molinate","<LQ","0,01","Pentachlorophenol","<LQ","0,01"
"Mathylpos","<LQ","0,01","Monalide","<LQ","0,01","Permethrine","<LQ","0,01"
"Matribuzin","<LQ","0,01","Monocrothophos","<LQ","0,01","Perthane","<LQ","0,01"
"Mavinphos","<LQ","0,01","Monolinuron","<LQ","0,01","Phenmedipham","<LQ","0,01"
"MCPA","<LQ","0,01","Moxidection","<LQ","0,01","Phenothrin","<LQ","0,01"
"Mecarbam","<LQ","0,01","Monuron","<LQ","0,01","Phenthoate","<LQ","0,01"
"Mefenacet","<LQ","0,01","Méthomyl","<LQ","0,01","Phorate sulfone","<LQ","0,01"
"Mefenpyr-Diethyl","<LQ","0,01","Motobromuron","<LQ","0,01","Phorate sulfoxide","<LQ","0,01"
"Mepanipyrim","<LQ","0,01","Myclobutanil","<LQ","0,01","Phorate","<LQ","0,01"
"Mepronil","<LQ","0,01","Naled","<LQ","0,01","Phosalone","<LQ","0,01"
"Mesosulfuron methyl","<LQ","0,01","Napropamide","<LQ","0,01","Phosmet","<LQ","0,01"
"Metaflumizone","<LQ","0,01","Neburon","<LQ","0,01","Phosphamidon","<LQ","0,01"
"Metalaxyl","<LQ","0,01","Nitenpyram","<LQ","0,01","Phoxim","<LQ","0,01"
"Metamitron","<LQ","0,01","Nitralin","<LQ","0,01","Picolinafene","<LQ","0,01"
"Metazachlore","<LQ","0,01","Nitrapyrin","<LQ","0,01","Picoxystrobin","<LQ","0,01"
"Metconazole","<LQ","0,01","Nitrofene","<LQ","0,01","Pinoxaden","<LQ","0,01"
"Methabenzthiazuron","<LQ","0,01","Nitrothal-Isopropyl","<LQ","0,01","Piperonyl Butoxide","<LQ","0,01"
"Methacrifos","<LQ","0,01","Novaluron","<LQ","0,01","Piperophos","<LQ","0,01"
"Methamidophos","<LQ","0,01","Nuarimol","<LQ","0,01","Pirimicarb","<LQ","0,01"
"Methidathion","<LQ","0,01","Ofurace","<LQ","0,01","Pirimicarb desmethyl","<LQ","0,01"
"","","","","","","Pirimicarb desmethyl","",""
"Methiocarb","<LQ","0,01","Omethoate","<LQ","0,01","","<LQ","0,01"
"","","","","","","formamide","",""
"Methiocarb Sulfone","<LQ","0,01","Oxadiargyll","<LQ","0,01","Pirimiphos ethyle","<LQ","0,01"
"Methomyl","<LQ","0,01","Oxadiazon","<LQ","0,01","Pirimiphos-methyl","<LQ","0,01"
"Methoprotryne","<LQ","0,01","Oxadixyl","<LQ","0,01","Pretilachlor","<LQ","0,01"
"Methoxychlore*","<LQ","0,01","Oxamyl","<LQ","0,01","Procymidone","<LQ","0,01"
"Methoxyfenozide","<LQ","0,01","Oxamyl+NH4","<LQ","0,01","Profenofos","<LQ","0,01"
"Methylpos","<LQ","0,01","Oxasulfuron","<LQ","0,01","Profluralin","<LQ","0,01"
