"","","","","Rapport N° :119/24-PS","","","",""
"","Résultats","LQ","","Résultats","LQ","","","LQ"
"Matière active","","","Matière active","","","Matière active","Résultats (µg/l)",""
"","(µg/l)","(µg/l)","","(µg/l)","(µg/l)","","","(µg/l)"
"Chloroxuron","<LQ","0,01","Cyhexatin","<LQ","0,01","Dimethoate*","<LQ","0,01"
"Chlorprophame","<LQ","0,01","Cymoxanil","<LQ","0,01","Dimethomorphe","<LQ","0,01"
"Chlorpyrifos","<LQ","0,01","Cypermethrine","<LQ","0,01","Dimoxystrobin","<LQ","0,01"
"Chlorpyrifos-ethyl","<LQ","0,01","Cyproconazole","<LQ","0,01","Dimethyl-carpropamid","<LQ","0,01"
"Chlorpyrifos-methyl","<LQ","0,01","Cyprodinil","<LQ","0,01","Diniconazole","<LQ","0,01"
"Chlorsulfuron","<LQ","0,01","Cyromazine","<LQ","0,01","Dinotefuron","<LQ","0,01"
"Chlorthal","<LQ","0,01","DEET","<LQ","0,01","Dioxabenzofos","<LQ","0,01"
"Chlorthal-Dimethyl","<LQ","0,01","Deltamethrine","<LQ","0,01","Diphenamid","<LQ","0,01"
"Chlorthiamide","<LQ","0,01","Demeton-S","<LQ","0,01","Diphenylamine","<LQ","0,01"
"Chlorthion","<LQ","0,01","Demeton-S-Methyl","<LQ","0,01","Dipropetryn","<LQ","0,01"
"","","","Demeton-S-Methyl","","","","",""
"Chlorthiophos","<LQ","0,01","","<LQ","0,01","Disulfoton","<LQ","0,01"
"","","","sulfone","","","","",""
"","","","Demeton-S-methyl-","","","","",""
"Chlozolinate","<LQ","0,01","","<LQ","0,01","Ditalimfos","<LQ","0,01"
"","","","sulfixide","","","","",""
"Chromafenozide","<LQ","0,01","Desmethil-pirimirarb","<LQ","0,01","Diuron","<LQ","0,01"
"Cinidon ethyl","<LQ","0,01","Desmetryn","<LQ","0,01","DMSA","<LQ","0,01"
"Cinosulfuron","<LQ","0,01","Diafenthiuron","<LQ","0,01","DMST","<LQ","0,01"
"cis-Befenthrin","<LQ","0,01","Dialifos","<LQ","0,01","Dodemorph","<LQ","0,01"
"Cis-Chlordane","<LQ","0,01","Diallate","<LQ","0,01","Dodine","<LQ","0,01"
"Clethodim","<LQ","0,01","Diazinon*","<LQ","0,01","Doramection","<LQ","0,01"
"Clofentezine","<LQ","0,01","Dicamba","<LQ","0,01","Edifenphos","<LQ","0,01"
"Clomazone","<LQ","0,01","Dichlobenil","<LQ","0,01","E-Fenpyroxiamte","<LQ","0,01"
"Clothianidin","<LQ","0,01","Dichlofenthion","<LQ","0,01","Endosulfan peak 1","<LQ","0,01"
"Coumaphos","<LQ","0,01","Dichlofluanide","<LQ","0,01","Endosulfan peak 2","<LQ","0,01"
"Crimidine","<LQ","0,01","Dichlorvos","<LQ","0,01","Endosulfan total (sulfat)*","<LQ","0,01"
"Crotoxyphos+NH4","<LQ","0,01","Diclobutrazole","<LQ","0,01","Endosulfan-sulfate*","<LQ","0,01"
"Cumyluron","<LQ","0,01","Diclofop-Methyl","<LQ","0,01","Endrine*","<LQ","0,01"
"Cyanazine","<LQ","0,01","Dicloran","<LQ","0,01","Endrin-ketone","<LQ","0,01"
"Cyanofenphos","<LQ","0,01","Dicofol","<LQ","0,01","EPN","<LQ","0,01"
"Cyanophos","<LQ","0,01","Dicrotophos","<LQ","0,01","Epoxiconazole","<LQ","0,01"
"Cyantraniliprole","<LQ","0,01","Dieldrine*","<LQ","0,01","Epoxide","<LQ","0,01"
"Cyazofamid","<LQ","0,01","Diethofencarbe","<LQ","0,01","EPTC","<LQ","0,01"
"Cycloate","<LQ","0,01","Difenoconazole","<LQ","0,01","Esfenvalerate","<LQ","0,01"
"Cycloxydime","<LQ","0,01","Difenoxuron","<LQ","0,01","Esprocarb","<LQ","0,01"
"Cycluron","<LQ","0,01","Diflovidazin","<LQ","0,01","Etaconazole","<LQ","0,01"
"Cyflufenamid","<LQ","0,01","Diflubenzuron","<LQ","0,01","Ethiofencarb","<LQ","0,01"
"cyfluthrin","<LQ","0,01","Diflufenican","<LQ","0,01","Ethion","<LQ","0,01"
"Cyfluthrine-1","<LQ","0,01","Dimefuron","<LQ","0,01","Ethofumesate","<LQ","0,01"
"Cyfluthrine-2","<LQ","0,01","Dimepiperate","<LQ","0,01","Ethoprophos","<LQ","0,01"
"Cyfluthrine-3","<LQ","0,01","Dimethachlore","<LQ","0,01","Ethoxyquine","<LQ","0,01"
"Cyfluthrine-4","<LQ","0,01","Dimethenamid-P","<LQ","0,01","Etofenprox","<LQ","0,01"
"Cyhalofop-butyl","<LQ","0,01","Dimethipin","<LQ","0,01","Etoxazole","<LQ","0,01"
