"Code échantillon : 945-01/02","","Référence du client : RADEES 728","","","Date/heure début d'analyse : 29/02/2024 à 08h50",""
"Lieu d’exécution des analyses : LC2A","","Condition de réception :   T°C :5,2°C","","Date d’édition : 04/03/2024","",""
"Référence de la méthode d’échantillonnage:","Volume : 6 litre","","","Conditions spécifiques : 3°C à 8°C","",""
"INSPC/15/V01","","","","","",""
"","","","","","Critères",""
"","","","","Incertitude","",""
"Paramètre(s) microbiologiques","Méthode/Version","Résultat","(unité","","microbiologiques","Appréciation"
"","","","","(%)","",""
"","","","","","Marocains(1) (VMA)",""
"Dénombrement de micro-organismes","","","","","",""
"","NM ISO 6222 (2007)","<1","ufc/1ml","0,078","1.102","S"
"revivifiables à 22°C*","","","","","",""
"Dénombrement de micro-organismes","","","","","",""
"","NM ISO 6222 (2007)","<1","ufc/1ml","0,10","2.101","S"
"revivifiables à 36°C*","","","","","",""
"Dénombrement des bactéries coliforme*","NM ISO 9308-1 (2019)","<1","ufc/100ml","0,59","0","S"
"Dénombrement d’Escherichia coli *","NM ISO 9308-1 (2019)","<1","ufc/100ml","1","0","S"
"Recherche et dénombrement des spores","","","","","",""
"de micro-organismes anaérobies sulfito-","NM ISO 6461-2 (2007)","<1","ufc/100ml","0,40","0","S"
"réducteurs (Clostridia)*","","","","","",""
"Recherche et dénombrement des","","","","","",""
"","NM ISO 7899-2 (2007)","<1","ufc/100ml","1,02","0","S"
"Entérocoques intestinaux *","","","","","",""
