"","","","","Rapport N° :119/24-PS","","","",""
"","Résultats","LQ","","Résultats","LQ","","Résultats","LQ"
"Matière active","","","Matière active","","","Matière active","",""
"","(µg/l)","(µg/l)","","(µg/l)","(µg/l)","","(µg/l)","(µg/l)"
"Etridiazole","<LQ","0,01","Flubendiamide-ne","<LQ","0,01","Haloxyfop","<LQ","0,01"
"Etrimfos","<LQ","0,01","Flucarbazone sodium","<LQ","0,01","Haloxyfop ethyl","<LQ","0,01"
"Famoxadone","<LQ","0,01","Fluchloralin","<LQ","0,01","Haloxyfop-2-ethoxyethyl","<LQ","0,01"
"Fanazaquin","<LQ","0,01","Flucythrinate","<LQ","0,01","Haloxyfop-methyl","<LQ","0,01"
"Fanoxanil","<LQ","0,01","Fludioxonil","<LQ","0,01","HCH-Alpha*","<LQ","0,01"
"Fenamidone","<LQ","0,01","Flufenacet","<LQ","0,01","HCH-Béta*","<LQ","0,01"
"Fenamiphos","<LQ","0,01","Flufenoxuron","<LQ","0,01","Heptachlor epoxide*","<LQ","0,01"
"Fenamiphos sulfone","<LQ","0,01","Flumetralin","<LQ","0,01","Heptachlor*","<LQ","0,01"
"Fenamiphos sulfoxide","<LQ","0,01","Flumetsulam","<LQ","0,01","Heptenophos","<LQ","0,01"
"Fenarimol","<LQ","0,01","Fluometuron","<LQ","0.005","Hexachlorobenzene","<LQ","0,01"
"Fenazaquine","<LQ","0,01","Fluopicolide","<LQ","0,01","Hexaconazole","<LQ","0,01"
"Fenbucarb","<LQ","0,01","Fluopyram","<LQ","0,01","Hexaflumuron","<LQ","0,01"
"Fenbuconazol","<LQ","0,01","Fluotrimazole","<LQ","0,01","Hexazinone","<LQ","0,01"
"Fenfuram","<LQ","0,01","Fluoxastrobine","<LQ","0,01","Hexythiazox","<LQ","0,01"
"Fenhexamid","<LQ","0,01","Fluquinconazole","<LQ","0,01","Imazalil","<LQ","0,01"
"Fenitrothion*","<LQ","0,01","Fluridone","<LQ","0,01","Imazapyr","<LQ","0,01"
"Fenobucarb","<LQ","0,01","Flurochloridone","<LQ","0,01","Imazaquin","<LQ","0,01"
"Fenothiocarb","<LQ","0,01","Fluroxypyr","<LQ","0,01","Imazosulfuron","<LQ","0,01"
"Fenoxanil","<LQ","0,01","Flurprimidole","<LQ","0,01","Imibenconazole","<LQ","0,01"
"Fenoxycarb","<LQ","0,01","Flusilazole","<LQ","0,01","Imidacloprid","<LQ","0,01"
"Fenpropimorph","<LQ","0,01","Flutolanil","<LQ","0,01","Indoxacarb","<LQ","0,01"
"Fenpyroximate","<LQ","0,01","Flutriafol","<LQ","0,01","Iodofenphos","<LQ","0,01"
"Fensulfothion oxon","<LQ","0,01","Fluxastrobin","<LQ","0,01","Iodosulfuron methyl sodium","<LQ","0,01"
"Fensulfothion sulfon","<LQ","0,01","Fluzalifop","<LQ","0,01","iprIprovalicarb","<LQ","0,01"
"Fensulfothion","<LQ","0,01","Folpet","<LQ","0,01","Iprobenfos","<LQ","0,01"
"Fenthion sulfon","<LQ","0,01","Fonofos*","<LQ","0,01","Iprodione","<LQ","0,01"
"Fenthion","<LQ","0,01","Forchlorfenuron","<LQ","0,01","Isazofos","<LQ","0,01"
"Fenuron","<LQ","0,01","Formetanate HCl","<LQ","0,01","Isocarbamid","<LQ","0,01"
"Fenvalerate","<LQ","0,01","Formothion","<LQ","0,01","Isocarbofos","<LQ","0,01"
"Fipronil sulfide","<LQ","0,01","Fosthiazate","<LQ","0,01","Isodrine","<LQ","0,01"
"Fipronil sulfone","<LQ","0,01","Fuberidazole","<LQ","0,01","Isofenphos","<LQ","0,01"
"Fipronil","<LQ","0.005","Furalaxyl","<LQ","0,01","Isofenphos-Oxon","<LQ","0,01"
"Flamprop-Isopropyl","<LQ","0,01","Furathiocarbe","<LQ","0,01","Isoprocarb","<LQ","0,01"
"Flazasulfuron","<LQ","0,01","Furilazole","<LQ","0,01","Isopropalin","<LQ","0,01"
"Flonicamid","<LQ","0,01","Gamma-HCH","<LQ","0,01","Isoprothiolane","<LQ","0,01"
"Fluazifop","<LQ","0,01","Griseofulvin","<LQ","0,01","Isoproturon","<LQ","0,01"
"Fluazifop-Butyl","<LQ","0,01","Halfenprox","<LQ","0,01","Isopyrazam","<LQ","0,01"
"Fluazifop-p-Butyl","<LQ","0,01","Halofenozide","<LQ","0,01","Isoxaben","<LQ","0,01"
"Fluazinam","<LQ","0,01","Halofenozidepos","<LQ","0,01","Isoxadifen-Ethyl","<LQ","0,01"
"Flubendiamid","<LQ","0,01","Halosulfuron-méthyle","<LQ","0,01","Isoxaflutole","<LQ","0,01"
